path,bytes
COMMIT_MESSAGE.txt,48
docs/INSTALL_GITHUB_FA.md,2762
docs/NON_AUTHORITY_STATEMENT.md,281
docs/OVERLAY_FILE_TREE.txt,2220
github_overlay_product_root/.github/workflows/sig_brain4_display_only_mobile_panel.yml,1080
github_overlay_product_root/.github/workflows/sig_brain5_context_builder_brain4_panel.yml,1258
github_overlay_product_root/README_SIG_BRAIN4.md,1565
github_overlay_product_root/README_SIG_BRAIN5.md,823
github_overlay_product_root/README_SIG_BRAIN6.md,1480
github_overlay_product_root/contracts/sig_brain4_runtime_integration_contract_v1_0.json,1238
github_overlay_product_root/contracts/sig_brain5_context_builder_contract_v1_0.json,940
github_overlay_product_root/contracts/sig_brain6_context_field_registry_contract_v1_0.json,957
github_overlay_product_root/data/sig_brain/brain_memory_registry_v1_0.json,9867
github_overlay_product_root/data/sig_brain/context_builder_support_registry_v1_0.json,1279
github_overlay_product_root/data/sig_brain/context_field_registry_v1_0.json,18138
github_overlay_product_root/data/sig_brain/feature_family_catalog_v1_0.json,3811
github_overlay_product_root/data/sig_brain/memory_context_requirements_matrix_v1_0.csv,765
github_overlay_product_root/data/sig_brain/memory_context_requirements_matrix_v1_0.json,1449
github_overlay_product_root/docs/SIG_BRAIN4_SETUP_FA.md,1565
github_overlay_product_root/docs/SIG_BRAIN5_SETUP_FA.md,823
github_overlay_product_root/docs/SIG_BRAIN6_CONTEXT_FIELD_REGISTRY_FA.md,1480
github_overlay_product_root/inputs/sig_brain4_live_context_latest.json,871
github_overlay_product_root/inputs/sig_brain4_live_context_sample.json,1245
github_overlay_product_root/inputs/sig_brain5_raw_bars_latest.json,19316
github_overlay_product_root/inputs/sig_brain5_raw_bars_sample.json,19316
github_overlay_product_root/panel/brain4/assets/brain4.css,1509
github_overlay_product_root/panel/brain4/assets/brain4_panel.js,2079
github_overlay_product_root/panel/brain4/index.html,758
github_overlay_product_root/panel/brain4/sig_brain4_runtime_payload_current.json,13309
github_overlay_product_root/proofs/sig_brain4_validation_result.json,212
github_overlay_product_root/proofs/sig_brain5_context_validation_result.json,544
github_overlay_product_root/proofs/sig_brain6_context_registry_validation_result.csv,355
github_overlay_product_root/proofs/sig_brain6_context_registry_validation_result.json,1073
github_overlay_product_root/proofs/sig_brain6_runtime_context_coverage_result.json,708
github_overlay_product_root/runtime/sig_brain/sig_brain4_runtime_payload_current.json,13309
github_overlay_product_root/runtime/sig_brain/sig_brain5_derived_context_latest.json,1849
github_overlay_product_root/schemas/context_field_registry_schema_v1_0.json,981
github_overlay_product_root/schemas/memory_context_requirements_schema_v1_0.json,446
github_overlay_product_root/schemas/sig_brain4_runtime_payload_schema_v1_0.json,667
github_overlay_product_root/schemas/sig_brain5_raw_bars_input_schema_v1_0.json,189
github_overlay_product_root/scripts/build_sig_brain4_runtime_payload.bat,59
github_overlay_product_root/scripts/build_sig_brain4_runtime_payload.py,11557
github_overlay_product_root/scripts/build_sig_brain5_live_context.bat,56
github_overlay_product_root/scripts/build_sig_brain5_live_context.py,8333
github_overlay_product_root/scripts/check_sig_brain6_runtime_context_coverage.bat,68
github_overlay_product_root/scripts/check_sig_brain6_runtime_context_coverage.py,2494
github_overlay_product_root/scripts/validate_sig_brain4_outputs.bat,54
github_overlay_product_root/scripts/validate_sig_brain4_outputs.py,2030
github_overlay_product_root/scripts/validate_sig_brain5_context_builder.bat,62
github_overlay_product_root/scripts/validate_sig_brain5_context_builder.py,2384
github_overlay_product_root/scripts/validate_sig_brain6_context_registry.bat,63
github_overlay_product_root/scripts/validate_sig_brain6_context_registry.py,3505
install_scripts/install_sig_brain_architecture_to_product.ps1,657
install_scripts/verify_sig_brain_after_install.ps1,452
